Institute,Branch,Opening_Rank,Closing_Rank,Gender,Type
IIT/Bombay,CSE         (4110),88.0,280.0,Female,IIT
IIT/Delhi,CSE         (4110),307.0,375.0,Female,IIT
IIT/Kharagpur,CSE         (4110),391.0,733.0,Female,IIT
IIT/Madras,CSE         (4110),102.0,287.0,Female,IIT
IIT/Kanpur,CSE         (4110),479.0,666.0,Female,IIT
IIT/Roorkee,CSE         (4110),782.0,1003.0,Female,IIT
IIT/Guwahati,CSE         (4110),1053.0,1183.0,Female,IIT
IIT/Hyderabad,CSE         (4110),493.0,660.0,Female,IIT
IIT/BHU Varanasi,CSE         (4110),1204.0,1857.0,Female,IIT
IIT/Ropar,CSE         (4110),2331.0,3540.0,Female,IIT
IIT/Indore,CSE         (4110),1873.0,2285.0,Female,IIT
IIT/ISM Dhanbad,CSE         (4110),2372.0,3440.0,Female,IIT
IIT/Gandhinagar,CSE         (4110),2354.0,2700.0,Female,IIT
IIT/Patna,CSE         (4110),3010.0,3592.0,Female,IIT
IIT/Jodhpur,CSE         (4110),3621.0,3880.0,Female,IIT
IIT/Mandi,CSE         (4110),2975.0,3809.0,Female,IIT
IIT/ Bhubneshwar,CSE         (4110),2762.0,3481.0,Female,IIT
IIT/Tirupati,CSE         (4110),2687.0,3403.0,Female,IIT
IIT/Jammu,CSE         (4110),4770.0,5333.0,Female,IIT
IIT/Goa,CSE         (4110),4558.0,4786.0,Female,IIT
IIT/Bhilai,CSE         (4110),4762.0,4911.0,Female,IIT
IIT/Palakkad,CSE         (4110),4334.0,4804.0,Female,IIT
IIT/Dharwad,CSE         (4110),4855.0,5296.0,Female,IIT
IIT/Madras,AI & DA         (412L),401.0,474.0,Female,IIT
IIT/Delhi,Maths & Compu Tech (4124),661.0,956.0,Female,IIT
IIT/Guwahati,Maths & Compu Tech (4124),1523.0,2152.0,Female,IIT
IIT/BHU Varanasi,Maths & Compu Tech (4124),2145.0,2505.0,Female,IIT
IIT/Ropar,Maths & Compu Tech (4124),3870.0,4600.0,Female,IIT
IIT/Indore,Maths & Compu Tech (4124),2348.0,2513.0,Female,IIT
IIT/ISM Dhanbad,Maths & Compu Tech (4124),3546.0,4428.0,Female,IIT
IIT/Patna,Maths & Compu Tech (4124),4516.0,4760.0,Female,IIT
IIT/ Bhubneshwar,Maths & Compu Tech (4124),4264.0,4264.0,Female,IIT
IIT/Jammu,Maths & Compu Tech (4124),5440.0,6550.0,Female,IIT
IIT/Goa,Maths & Compu Tech (4124),5176.0,6344.0,Female,IIT
IIT/Dharwad,Maths & Compu Tech (4124),5539.0,5733.0,Female,IIT
IISc./Banglore,Maths & Compu Tech (4124),730.0,1067.0,Female,IIT
IIT/Kharagpur,AI                   (4185),806.0,1195.0,Female,IIT
IIT/Hyderabad,AI                   (4185),858.0,898.0,Female,IIT
IIT/Gandhinagar,AI                   (4185),2759.0,2873.0,Female,IIT
IIT/Delhi,CSE  (5216),457.0,563.0,Female,IIT
IIT/Delhi,Maths & Compu (5254),981.0,1135.0,Female,IIT
IIT/Bombay,Elect. Engg. (4111),322.0,885.0,Female,IIT
IIT/Delhi,Elect. Engg. (4111),1015.0,1238.0,Female,IIT
IIT/Kharagpur,Elect. Engg. (4111),2178.0,2378.0,Female,IIT
IIT/Madras,Elect. Engg. (4111),573.0,960.0,Female,IIT
IIT/Kanpur,Elect. Engg. (4111),1411.0,2153.0,Female,IIT
IIT/Roorkee,Elect. Engg. (4111),2293.0,2672.0,Female,IIT
IIT/Hyderabad,Elect. Engg. (4111),1444.0,1982.0,Female,IIT
IIT/BHU Varanasi,Elect. Engg. (4111),3076.0,3692.0,Female,IIT
IIT/Ropar,Elect. Engg. (4111),5109.0,5987.0,Female,IIT
IIT/Indore,Elect. Engg. (4111),2872.0,3723.0,Female,IIT
IIT/ISM Dhanbad,Elect. Engg. (4111),4818.0,6076.0,Female,IIT
IIT/Gandhinagar,Elect. Engg. (4111),3895.0,4856.0,Female,IIT
IIT/Jodhpur,Elect. Engg. (4111),6001.0,6741.0,Female,IIT
IIT/Mandi,Elect. Engg. (4111),5819.0,6932.0,Female,IIT
IIT/ Bhubneshwar,Elect. Engg. (4111),5616.0,6113.0,Female,IIT
IIT/Tirupati,Elect. Engg. (4111),4972.0,6028.0,Female,IIT
IIT/Jammu,Elect. Engg. (4111),7905.0,8063.0,Female,IIT
IIT/Goa,Elect. Engg. (4111),7474.0,7476.0,Female,IIT
IIT/Palakkad,Elect. Engg. (4111),5230.0,7354.0,Female,IIT
IIT/Roorkee,ECE          (4114),1518.0,2087.0,Female,IIT
IIT/Guwahati,ECE          (4114),2163.0,2619.0,Female,IIT
IIT/ISM Dhanbad,ECE          (4114),4069.0,4767.0,Female,IIT
IIT/Patna,ECE          (4114),4902.0,5145.0,Female,IIT
IIT/ Bhubneshwar,ECE          (4114),3745.0,4475.0,Female,IIT
IIT/Bhilai,ECE          (4114),6138.0,6323.0,Female,IIT
IIT/Dharwad,ECE          (4114),5679.0,6007.0,Female,IIT
IIT/Kharagpur,Electron & Elec Engg EEE (4115),1002.0,1894.0,Female,IIT
IIT/Delhi,Elect. Engg.  Power & Auto (4112),1270.0,1965.0,Female,IIT
IIT/Kharagpur,Maths & Compu SCI (4208),1312.0,2269.0,Female,IIT
IIT/Hyderabad,Maths & Compu SCI (4208),1196.0,1268.0,Female,IIT
IIT/Kanpur,Maths & Compu (4203),1951.0,2474.0,Female,IIT
IISc./Banglore,Maths & Compu (4203),2649.0,2797.0,Female,IIT
IIT/Kanpur,Data Sc. & AI (4181 / 4207),2077.0,2376.0,Female,IIT
IIT/Roorkee,Data Sc. & AI (4181 / 4207),1072.0,1177.0,Female,IIT
IIT/Guwahati,Data Sc. & AI (4181 / 4207),1351.0,1420.0,Female,IIT
IIT/Mandi,Data Sc. & AI (4181 / 4207),4228.0,4684.0,Female,IIT
IIT/Bhilai,Data Sc. & AI (4181 / 4207),5373.0,5902.0,Female,IIT
IIT/Patna,Data Sc. & AI (4188),3690.0,3867.0,Female,IIT
IIT/Jodhpur,Data Sc. & AI (4188),3998.0,4660.0,Female,IIT
IIT/Madras,Comp En & Mechs (412U),1442.0,1660.0,Female,IIT
IIT/Guwahati,Electronics & Electrical     (4116),2715.0,2820.0,Female,IIT
IIT/Patna,Electrical  & Electro  (4144),5483.0,6237.0,Female,IIT
IIT/Dharwad,Electrical  & Electro  (4144),6791.0,7627.0,Female,IIT
IIT/Bombay,Elect. Engg. (5217),1147.0,1651.0,Female,IIT
IIT/BHU Varanasi,Electronics Engg.       (4113),2725.0,3018.0,Female,IIT
IIT/Jodhpur,Electronics Engg.       (4113),5142.0,6587.0,Female,IIT
IIT/Bombay,Mechanical Engg.  (4125),1288.0,2990.0,Female,IIT
IIT/Delhi,Mechanical Engg.  (4125),2792.0,3321.0,Female,IIT
IIT/Kharagpur,Mechanical Engg.  (4125),3829.0,4695.0,Female,IIT
IIT/Madras,Mechanical Engg.  (4125),3339.0,4297.0,Female,IIT
IIT/Kanpur,Mechanical Engg.  (4125),3484.0,4172.0,Female,IIT
IIT/Roorkee,Mechanical Engg.  (4125),3628.0,5153.0,Female,IIT
IIT/Guwahati,Mechanical Engg.  (4125),5059.0,5461.0,Female,IIT
IIT/Hyderabad,Mechanical Engg.  (4125),3236.0,4372.0,Female,IIT
IIT/BHU Varanasi,Mechanical Engg.  (4125),6086.0,7082.0,Female,IIT
IIT/Ropar,Mechanical Engg.  (4125),6740.0,8315.0,Female,IIT
IIT/Indore,Mechanical Engg.  (4125),5505.0,6262.0,Female,IIT
IIT/ISM Dhanbad,Mechanical Engg.  (4125),7294.0,8233.0,Female,IIT
IIT/Gandhinagar,Mechanical Engg.  (4125),7773.0,8011.0,Female,IIT
IIT/Patna,Mechanical Engg.  (4125),8361.0,8791.0,Female,IIT
IIT/Jodhpur,Mechanical Engg.  (4125),7407.0,8457.0,Female,IIT
IIT/Mandi,Mechanical Engg.  (4125),8628.0,8826.0,Female,IIT
IIT/ Bhubneshwar,Mechanical Engg.  (4125),7589.0,8560.0,Female,IIT
IIT/Tirupati,Mechanical Engg.  (4125),7812.0,8262.0,Female,IIT
IIT/Jammu,Mechanical Engg.  (4125),9314.0,10241.0,Female,IIT
IIT/Goa,Mechanical Engg.  (4125),8065.0,9279.0,Female,IIT
IIT/Bhilai,Mechanical Engg.  (4125),9206.0,10129.0,Female,IIT
IIT/Palakkad,Mechanical Engg.  (4125),9020.0,9327.0,Female,IIT
IIT/Dharwad,Mechanical Engg.  (4125),9135.0,10216.0,Female,IIT
IIT/Bombay,Chemical Engg   (4107),2926.0,3280.0,Female,IIT
IIT/Delhi,Chemical Engg   (4107),3401.0,4023.0,Female,IIT
IIT/Kharagpur,Chemical Engg   (4107),4930.0,5452.0,Female,IIT
IIT/Madras,Chemical Engg   (4107),3435.0,4824.0,Female,IIT
IIT/Kanpur,Chemical Engg   (4107),4038.0,4961.0,Female,IIT
IIT/Roorkee,Chemical Engg   (4107),4887.0,5811.0,Female,IIT
IIT/Hyderabad,Chemical Engg   (4107),3705.0,5099.0,Female,IIT
IIT/BHU Varanasi,Chemical Engg   (4107),6542.0,8000.0,Female,IIT
IIT/Ropar,Chemical Engg   (4107),5953.0,7862.0,Female,IIT
IIT/Indore,Chemical Engg   (4107),5718.0,7111.0,Female,IIT
IIT/ISM Dhanbad,Chemical Engg   (4107),7833.0,8113.0,Female,IIT
IIT/Gandhinagar,Chemical Engg   (4107),6416.0,7702.0,Female,IIT
IIT/Patna,Chemical Engg   (4107),8875.0,9854.0,Female,IIT
IIT/Jodhpur,Chemical Engg   (4107),8464.0,8700.0,Female,IIT
IIT/Mandi,Chemical Engg   (4107),8490.0,8629.0,Female,IIT
