Institute,Branch,Opening_Rank,Closing_Rank,Gender
IIT/Bombay,CSE         (4110),88.0,280.0,Female
IIT/Delhi,CSE         (4110),307.0,375.0,Female
IIT/Kharagpur,CSE         (4110),391.0,733.0,Female
IIT/Madras,CSE         (4110),102.0,287.0,Female
IIT/Kanpur,CSE         (4110),479.0,666.0,Female
IIT/Roorkee,CSE         (4110),782.0,1003.0,Female
IIT/Guwahati,CSE         (4110),1053.0,1183.0,Female
IIT/Hyderabad,CSE         (4110),493.0,660.0,Female
IIT/BHU Varanasi,CSE         (4110),1204.0,1857.0,Female
IIT/Ropar,CSE         (4110),2331.0,3540.0,Female
IIT/Indore,CSE         (4110),1873.0,2285.0,Female
IIT/ISM Dhanbad,CSE         (4110),2372.0,3440.0,Female
IIT/Gandhinagar,CSE         (4110),2354.0,2700.0,Female
IIT/Patna,CSE         (4110),3010.0,3592.0,Female
IIT/Jodhpur,CSE         (4110),3621.0,3880.0,Female
IIT/Mandi,CSE         (4110),2975.0,3809.0,Female
IIT/ Bhubneshwar,CSE         (4110),2762.0,3481.0,Female
IIT/Tirupati,CSE         (4110),2687.0,3403.0,Female
IIT/Jammu,CSE         (4110),4770.0,5333.0,Female
IIT/Goa,CSE         (4110),4558.0,4786.0,Female
IIT/Bhilai,CSE         (4110),4762.0,4911.0,Female
IIT/Palakkad,CSE         (4110),4334.0,4804.0,Female
IIT/Dharwad,CSE         (4110),4855.0,5296.0,Female
Inst. Name/ No.,CSE         (4110),,,Female
IIT/Guwahati,CSE         (4110),2715.0,2820.0,Female
Inst. Name/ No.,CSE         (4110),,,Female
IIT/Hyderabad,CSE         (4110),1945.0,2248.0,Female
Inst. Name/ No.,CSE         (4110),,,Female
IIT/Bombay,CSE         (4110),1986.0,2608.0,Female
IIT/Kharagpur,CSE         (4110),,,Female
Inst. Name/ No.,CSE         (4110),,,Female
IIT/Delhi,CSE         (4110),5532.0,5611.0,Female
IIT/Gandhinagar,CSE         (4110),8304.0,8918.0,Female
IIT/Jodhpur,CSE         (4110),9554.0,10038.0,Female
IIT/Jammu,CSE         (4110),10758.0,11051.0,Female
Inst. Name/ No.,CSE         (4110),,,Female
IIT/Madras,AI & DA         (412L),401.0,474.0,Female
Inst. Name/ No.,AI & DA         (412L),,,Female
IIT/Patna,AI & DA         (412L),5483.0,6237.0,Female
IIT/Dharwad,AI & DA         (412L),6791.0,7627.0,Female
Inst. Name/ No.,AI & DA         (412L),,,Female
IIT/Hyderabad,AI & DA         (412L),1779.0,1881.0,Female
IIT/Gandhinagar,AI & DA         (412L),5355.0,5865.0,Female
Inst. Name/ No.,AI & DA         (412L),,,Female
IIT/Bombay,AI & DA         (412L),7623.0,7860.0,Female
IIT/Delhi,AI & DA         (412L),8487.0,9163.0,Female
IIT/Kharagpur,AI & DA         (412L),9759.0,9932.0,Female
IIT/Kanpur,AI & DA         (412L),8327.0,9266.0,Female
IIT/ISM Dhanbad,AI & DA         (412L),8817.0,10045.0,Female
Inst. Name/ No.,AI & DA         (412L),,,Female
IIT/Delhi,AI & DA         (412L),5659.0,6765.0,Female
